order_id,product_id,customer_id,quantity,TotalPrice,order_date,shipping_date,order_status,payment_method
O70095,P1009,C20566,5,1617.7,2022-12-15,2022-12-18,Afsendt,Kreditkort
O70096,P1010,C21001,4,7846.48,2022-03-29,2022-03-31,Afsendt,Kreditkort
O70097,P1002,C21006,6,1528.44,2023-12-09,2023-12-13,Afsendt,Dankort
O70098,P1017,C20499,4,17993.32,2022-04-06,2022-04-09,Afsendt,MobilePay
O70099,P1006,C20872,3,1718.73,2023-04-30,2023-05-05,Returneret,MobilePay
O70100,P1014,C20628,3,6194.13,2022-12-27,2023-01-02,Afsendt,Dankort
O70101,P1001,C21098,1,1192.73,2024-01-09,2024-01-11,Returneret,Kreditkort
O70102,P1010,C20567,4,7846.48,2022-07-16,2022-07-18,Leveret,MobilePay
O70103,P1017,C20466,3,13494.99,2022-04-13,2022-04-20,Afsendt,MobilePay
O70104,P1006,C20562,2,1145.82,2022-01-15,2022-01-21,Afsendt,Dankort
O70105,P1010,C21006,2,3923.24,2023-07-21,2023-07-24,Afsendt,Dankort
O70106,P1014,C20903,4,8258.84,2023-08-11,2023-08-14,Afsendt,Dankort
O70107,P1014,C20134,1,2064.71,2022-09-16,2022-09-23,Afsendt,Dankort
O70108,P1002,C20311,1,254.74,2023-08-14,2023-08-20,Afsendt,MobilePay
O70109,P1004,C20853,5,14932.0,2022-03-29,2022-03-31,Leveret,Kreditkort
O70110,P1019,C20907,4,15920.76,2024-03-05,2024-03-10,Afsendt,Faktura
O70111,P1003,C20204,1,2849.1,2022-11-09,2022-11-14,Annulleret,Kreditkort
O70112,P1018,C20167,6,3266.76,2023-10-03,2023-10-05,Afsendt,Kreditkort
O70113,P1005,C20837,1,1766.23,2023-07-20,2023-07-21,Afsendt,Faktura
O70114,P1017,C20580,3,13494.99,2022-10-26,2022-10-27,Leveret,Faktura
O70115,P1017,C20406,3,13494.99,2022-03-14,2022-03-20,Afsendt,Kreditkort
O70116,P1009,C20292,3,970.62,2023-10-26,2023-10-28,Afsendt,Kreditkort
O70117,P1003,C21166,6,17094.6,2024-03-22,2024-03-25,Annulleret,Faktura
O70118,P1010,C20825,3,5884.86,2022-05-08,2022-05-12,Annulleret,Faktura
O70119,P1003,C20885,1,2849.1,2023-03-25,2023-03-26,Leveret,MobilePay
O70120,P1017,C21179,6,26989.98,2022-01-27,2022-01-28,Afsendt,Dankort
O70121,P1012,C21181,3,8148.87,2024-02-23,2024-02-29,Afsendt,Kreditkort
O70122,P1002,C20570,4,1018.96,2023-04-27,2023-05-02,Afsendt,Faktura
O70123,P1014,C20963,1,2064.71,2023-10-13,2023-10-20,Afsendt,MobilePay
O70124,P1004,C20676,2,5972.8,2022-11-25,2022-12-01,Afsendt,Faktura
O70125,P1019,C20076,5,19900.95,2022-10-23,2022-10-29,Afsendt,MobilePay
O70126,P1004,C21054,4,11945.6,2022-09-16,2022-09-19,Leveret,Dankort
O70127,P1006,C20847,4,2291.64,2023-11-05,2023-11-12,Afsendt,MobilePay
O70128,P1014,C20906,6,12388.26,2023-09-30,2023-10-07,Leveret,Kreditkort
O70129,P1005,C20898,3,5298.69,2022-10-01,2022-10-06,Annulleret,Faktura
O70130,P1002,C20491,5,1273.7,2022-05-05,2022-05-06,Leveret,MobilePay
O70131,P1006,C20191,4,2291.64,2023-07-19,2023-07-20,Afsendt,Dankort
O70132,P1002,C21021,2,509.48,2023-04-18,2023-04-19,Annulleret,MobilePay
O70133,P1018,C20989,4,2177.84,2023-06-06,2023-06-12,Returneret,Kreditkort
O70134,P1005,C20391,4,7064.92,2023-04-13,2023-04-18,Annulleret,Kreditkort
O70135,P1018,C20697,4,2177.84,2024-06-03,2024-06-04,Annulleret,MobilePay
O70136,P1018,C20612,6,3266.76,2024-04-20,2024-04-21,Leveret,Faktura
O70137,P1014,C20992,5,10323.55,2024-06-05,2024-06-07,Afsendt,Faktura
O70138,P1012,C20490,2,5432.58,2023-04-12,2023-04-15,Afsendt,Kreditkort
O70139,P1019,C20652,1,3980.19,2024-05-26,2024-06-02,Leveret,Faktura
O70140,P1020,C20312,6,16149.96,2023-01-31,2023-02-06,Afsendt,Dankort
O70141,P1003,C20206,3,8547.3,2022-05-10,2022-05-15,Annulleret,Faktura
O70142,P1009,C20032,4,1294.16,2022-04-13,2022-04-18,Leveret,Faktura
O70143,P1005,C20962,1,1766.23,2024-06-10,2024-06-16,Leveret,MobilePay
O70144,P1010,C20165,4,7846.48,2022-12-13,2022-12-18,Annulleret,Faktura
O70145,P1010,C21109,4,7846.48,2022-11-21,2022-11-27,Afsendt,Dankort
O70146,P1002,C20466,3,764.22,2022-08-29,2022-09-04,Leveret,Faktura
O70147,P1002,C20206,6,1528.44,2022-04-11,2022-04-18,Afsendt,MobilePay
O70148,P1001,C20601,1,1192.73,2022-01-30,2022-01-31,Afsendt,Faktura
O70149,P1006,C21160,4,2291.64,2022-05-30,2022-06-01,Leveret,Kreditkort
O70150,P1004,C20784,5,14932.0,2022-06-24,2022-06-26,Leveret,Kreditkort
O70151,P1005,C20945,2,3532.46,2023-05-25,2023-05-30,Leveret,Faktura
O70152,P1016,C20590,4,5229.88,2022-09-19,2022-09-25,Leveret,Kreditkort
O70153,P1001,C20613,5,5963.65,2022-03-17,2022-03-21,Leveret,Faktura
O70154,P1014,C20408,3,6194.13,2023-12-08,2023-12-11,Returneret,Faktura
O70155,P1019,C20736,5,19900.95,2022-04-20,2022-04-22,Afsendt,MobilePay
O70156,P1002,C20563,4,1018.96,2022-01-23,2022-01-30,Afsendt,Dankort
O70157,P1014,C20472,3,6194.13,2023-09-13,2023-09-19,Leveret,MobilePay
O70158,P1017,C20514,5,22491.65,2022-08-13,2022-08-19,Leveret,Kreditkort
O70159,P1009,C20081,6,1941.24,2023-10-06,2023-10-07,Afsendt,Faktura
O70160,P1001,C20270,6,7156.38,2022-02-04,2022-02-09,Afsendt,MobilePay
O70161,P1019,C20412,2,7960.38,2022-12-01,2022-12-07,Afsendt,MobilePay
O70162,P1009,C20337,3,970.62,2023-06-28,2023-07-03,Afsendt,Faktura
O70163,P1010,C20236,3,5884.86,2024-04-05,2024-04-08,Afsendt,Dankort
O70164,P1017,C20814,6,26989.98,2022-05-25,2022-06-01,Returneret,MobilePay
O70165,P1019,C20542,1,3980.19,2022-04-03,2022-04-10,Afsendt,Faktura
O70166,P1010,C20537,6,11769.72,2023-01-13,2023-01-19,Afsendt,MobilePay
O70167,P1017,C20052,4,17993.32,2022-04-21,2022-04-27,Leveret,MobilePay
O70168,P1002,C20951,1,254.74,2023-09-17,2023-09-19,Annulleret,MobilePay
O70169,P1004,C20093,2,5972.8,2023-10-27,2023-10-31,Annulleret,MobilePay
O70170,P1004,C21101,2,5972.8,2023-05-20,2023-05-21,Afsendt,Faktura
O70171,P1010,C21107,6,11769.72,2023-01-15,2023-01-21,Afsendt,Kreditkort
O70172,P1004,C20836,4,11945.6,2023-03-01,2023-03-07,Annulleret,MobilePay
O70173,P1001,C20909,2,2385.46,2022-02-03,2022-02-09,Afsendt,Kreditkort
O70174,P1004,C20753,6,17918.4,2024-05-25,2024-05-28,Afsendt,MobilePay
O70175,P1018,C20251,2,1088.92,2022-03-04,2022-03-08,Annulleret,Faktura
O70176,P1017,C20044,6,26989.98,2022-04-04,2022-04-10,Afsendt,MobilePay
O70177,P1020,C20421,5,13458.3,2022-09-07,2022-09-09,Afsendt,Kreditkort
O70178,P1012,C20673,2,5432.58,2023-08-24,2023-08-26,Leveret,Dankort
O70179,P1005,C21107,2,3532.46,2022-10-11,2022-10-18,Afsendt,Kreditkort
O70180,P1012,C20270,1,2716.29,2022-04-23,2022-04-29,Afsendt,Kreditkort
O70181,P1016,C20544,2,2614.94,2023-08-26,2023-08-29,Afsendt,Faktura
O70182,P1010,C20976,1,1961.62,2023-06-23,2023-06-24,Afsendt,MobilePay
O70183,P1004,C21032,4,11945.6,2023-06-10,2023-06-15,Afsendt,Dankort
O70184,P1009,C21068,6,1941.24,2024-01-15,2024-01-22,Afsendt,Dankort
O70185,P1012,C20874,4,10865.16,2022-03-04,2022-03-08,Leveret,Faktura
O70186,P1004,C20660,1,2986.4,2023-12-31,2024-01-04,Leveret,Dankort
O70187,P1003,C21199,6,17094.6,2022-05-10,2022-05-13,Afsendt,MobilePay
O70188,P1006,C20930,3,1718.73,2023-01-26,2023-01-31,Afsendt,Faktura
O70189,P1010,C21130,1,1961.62,2022-04-12,2022-04-19,Leveret,Kreditkort
O70190,P1009,C20848,2,647.08,2023-03-17,2023-03-21,Afsendt,Faktura
O70191,P1010,C20641,1,1961.62,2023-02-13,2023-02-17,Afsendt,MobilePay
O70192,P1002,C20138,4,1018.96,2023-01-19,2023-01-21,Afsendt,Dankort
O70193,P1004,C20764,6,17918.4,2022-04-06,2022-04-10,Leveret,Dankort
O70194,P1006,C20251,3,1718.73,2023-08-24,2023-08-29,Afsendt,Faktura
O70195,P1016,C20640,3,3922.41,2024-06-07,2024-06-13,Afsendt,Kreditkort
O70196,P1014,C20222,2,4129.42,2022-06-08,2022-06-14,Afsendt,MobilePay
O70197,P1018,C20464,5,2722.3,2022-04-28,2022-05-05,Leveret,Dankort
O70198,P1012,C20548,6,16297.74,2023-09-16,2023-09-22,Afsendt,MobilePay
O70199,P1018,C20719,3,1633.38,2023-12-21,2023-12-28,Afsendt,Kreditkort
O70200,P1019,C20291,1,3980.19,2023-08-03,2023-08-09,Leveret,Dankort
O70201,P1006,C20771,2,1145.82,2022-04-04,2022-04-10,Afsendt,MobilePay
O70202,P1018,C20665,6,3266.76,2022-06-11,2022-06-14,Leveret,Dankort
O70203,P1005,C20102,5,8831.15,2022-02-23,2022-02-25,Leveret,MobilePay
O70204,P1019,C20906,4,15920.76,2023-03-30,2023-04-05,Afsendt,Kreditkort
O70205,P1004,C20881,3,8959.2,2024-02-13,2024-02-18,Afsendt,Faktura
O70206,P1018,C20452,1,544.46,2023-06-24,2023-06-30,Afsendt,Dankort
O70207,P1018,C20282,2,1088.92,2022-01-08,2022-01-10,Leveret,MobilePay
O70208,P1016,C20882,4,5229.88,2022-12-02,2022-12-03,Afsendt,Faktura
O70209,P1017,C21145,5,22491.65,2023-06-30,2023-07-06,Leveret,MobilePay
O70210,P1012,C20087,6,16297.74,2022-03-15,2022-03-19,Afsendt,Faktura
O70211,P1001,C20880,5,5963.65,2022-03-21,2022-03-28,Afsendt,Faktura
O70212,P1019,C20666,1,3980.19,2022-10-24,2022-10-25,Afsendt,Faktura
O70213,P1009,C20181,3,970.62,2024-05-01,2024-05-07,Afsendt,Dankort
O70214,P1003,C21074,4,11396.4,2022-09-07,2022-09-11,Afsendt,MobilePay
O70215,P1017,C20345,3,13494.99,2024-02-03,2024-02-06,Afsendt,Dankort
O70216,P1017,C20720,3,13494.99,2023-06-28,2023-07-03,Leveret,Kreditkort
O70217,P1005,C20405,3,5298.69,2022-08-30,2022-08-31,Afsendt,Kreditkort
O70218,P1002,C20363,1,254.74,2024-02-18,2024-02-25,Returneret,Faktura
O70219,P1003,C20920,5,14245.5,2023-04-21,2023-04-28,Leveret,MobilePay
O70220,P1001,C20901,2,2385.46,2024-06-03,2024-06-09,Afsendt,Faktura
O70221,P1020,C20116,3,8074.98,2023-10-09,2023-10-12,Afsendt,Dankort
O70222,P1014,C20117,1,2064.71,2022-11-14,2022-11-18,Afsendt,MobilePay
O70223,P1012,C21039,1,2716.29,2022-03-20,2022-03-26,Afsendt,Dankort
O70224,P1003,C20386,6,17094.6,2023-04-06,2023-04-13,Afsendt,Faktura
O70225,P1016,C20212,4,5229.88,2023-05-29,2023-05-31,Leveret,MobilePay
O70226,P1006,C20354,6,3437.46,2024-01-02,2024-01-03,Afsendt,Faktura
O70227,P1006,C20326,5,2864.55,2023-03-26,2023-03-31,Afsendt,MobilePay
O70228,P1020,C20108,3,8074.98,2023-02-01,2023-02-05,Leveret,MobilePay
O70229,P1004,C20792,5,14932.0,2022-03-09,2022-03-12,Afsendt,Kreditkort
O70230,P1003,C20290,6,17094.6,2022-12-08,2022-12-09,Annulleret,MobilePay
O70231,P1002,C20265,4,1018.96,2023-11-03,2023-11-09,Afsendt,Dankort
O70232,P1019,C20673,6,23881.14,2022-11-14,2022-11-19,Leveret,Dankort
O70233,P1019,C20742,5,19900.95,2023-10-24,2023-10-30,Afsendt,MobilePay
O70234,P1001,C20394,4,4770.92,2022-07-04,2022-07-06,Afsendt,Kreditkort
O70235,P1018,C21040,1,544.46,2022-06-08,2022-06-09,Leveret,Dankort
O70236,P1009,C20269,5,1617.7,2023-11-09,2023-11-12,Afsendt,Kreditkort
O70237,P1012,C20340,6,16297.74,2022-06-16,2022-06-18,Leveret,Dankort
O70238,P1002,C20487,6,1528.44,2023-02-25,2023-02-28,Returneret,MobilePay
O70239,P1020,C20480,4,10766.64,2024-02-10,2024-02-16,Afsendt,MobilePay
O70240,P1014,C20754,2,4129.42,2024-04-08,2024-04-15,Leveret,Faktura
O70241,P1018,C21030,4,2177.84,2023-04-18,2023-04-25,Afsendt,Kreditkort
O70242,P1020,C20284,5,13458.3,2024-04-16,2024-04-18,Annulleret,Dankort
O70243,P1012,C21136,3,8148.87,2023-10-19,2023-10-23,Annulleret,Dankort
O70244,P1020,C20559,2,5383.32,2022-10-19,2022-10-20,Afsendt,Kreditkort
O70245,P1004,C20924,2,5972.8,2024-04-30,2024-05-04,Annulleret,Dankort
O70246,P1019,C20766,5,19900.95,2023-03-01,2023-03-02,Afsendt,Dankort
O70247,P1016,C20203,3,3922.41,2023-01-19,2023-01-21,Leveret,MobilePay
O70248,P1005,C20588,1,1766.23,2024-03-21,2024-03-23,Annulleret,Faktura
O70249,P1005,C20961,6,10597.38,2023-12-14,2023-12-21,Afsendt,Dankort
O70250,P1018,C20307,2,1088.92,2022-03-23,2022-03-24,Afsendt,Faktura
O70251,P1018,C20617,2,1088.92,2022-04-24,2022-05-01,Afsendt,Kreditkort
O70252,P1020,C20937,5,13458.3,2023-03-06,2023-03-12,Afsendt,Faktura
O70253,P1016,C21056,6,7844.82,2023-09-04,2023-09-09,Afsendt,Kreditkort
O70254,P1016,C20723,5,6537.35,2022-10-26,2022-10-30,Afsendt,Faktura
O70255,P1002,C21073,1,254.74,2022-07-11,2022-07-17,Returneret,Dankort
O70256,P1006,C21135,5,2864.55,2023-06-23,2023-06-28,Afsendt,Faktura
O70257,P1019,C20520,3,11940.57,2022-02-14,2022-02-20,Leveret,MobilePay
O70258,P1001,C20213,2,2385.46,2024-03-18,2024-03-19,Leveret,MobilePay
O70259,P1001,C20694,5,5963.65,2022-05-17,2022-05-18,Leveret,Kreditkort
O70260,P1002,C20981,4,1018.96,2024-04-30,2024-05-07,Leveret,Kreditkort
O70261,P1020,C20076,4,10766.64,2022-03-06,2022-03-12,Afsendt,Dankort
O70262,P1009,C20647,1,323.54,2024-03-21,2024-03-23,Annulleret,Faktura
O70263,P1014,C20075,3,6194.13,2024-04-14,2024-04-19,Leveret,Kreditkort
O70264,P1012,C20680,1,2716.29,2022-10-20,2022-10-23,Afsendt,MobilePay
O70265,P1010,C20792,4,7846.48,2023-03-24,2023-03-28,Afsendt,Kreditkort
O70266,P1014,C21064,3,6194.13,2023-05-24,2023-05-30,Afsendt,Dankort
O70267,P1004,C20370,4,11945.6,2024-01-15,2024-01-19,Afsendt,MobilePay
O70268,P1001,C20606,6,7156.38,2022-04-16,2022-04-17,Afsendt,Faktura
O70269,P1014,C20916,3,6194.13,2022-06-20,2022-06-26,Afsendt,MobilePay
O70270,P1018,C20118,6,3266.76,2023-09-22,2023-09-26,Afsendt,Faktura
O70271,P1020,C20328,6,16149.96,2023-01-08,2023-01-13,Returneret,Kreditkort
O70272,P1002,C20072,4,1018.96,2024-05-19,2024-05-24,Afsendt,Kreditkort
O70273,P1001,C20785,3,3578.19,2024-03-08,2024-03-14,Annulleret,Dankort
O70274,P1002,C20760,4,1018.96,2023-09-12,2023-09-14,Afsendt,Dankort
O70275,P1006,C20816,3,1718.73,2023-08-11,2023-08-13,Afsendt,MobilePay
O70276,P1016,C20382,6,7844.82,2022-09-13,2022-09-14,Afsendt,Faktura
O70277,P1018,C20914,3,1633.38,2023-07-30,2023-07-31,Afsendt,MobilePay
O70278,P1017,C20278,1,4498.33,2023-12-12,2023-12-16,Annulleret,Faktura
O70279,P1014,C20655,1,2064.71,2022-06-26,2022-07-02,Leveret,Dankort
O70280,P1018,C20323,3,1633.38,2023-07-18,2023-07-23,Leveret,Kreditkort
O70281,P1006,C20249,2,1145.82,2024-03-23,2024-03-26,Returneret,Kreditkort
O70282,P1014,C20740,1,2064.71,2022-08-31,2022-09-07,Afsendt,MobilePay
O70283,P1006,C20177,2,1145.82,2023-04-24,2023-05-01,Afsendt,Faktura
O70284,P1014,C20842,5,10323.55,2024-01-05,2024-01-11,Leveret,Dankort
O70285,P1002,C20922,1,254.74,2022-05-09,2022-05-12,Afsendt,MobilePay
O70286,P1020,C20373,5,13458.3,2022-05-12,2022-05-19,Leveret,Kreditkort
O70287,P1009,C20255,1,323.54,2023-03-20,2023-03-25,Afsendt,MobilePay
O70288,P1001,C20462,6,7156.38,2022-06-18,2022-06-20,Afsendt,MobilePay
O70289,P1018,C21129,2,1088.92,2024-05-16,2024-05-17,Afsendt,MobilePay
O70290,P1004,C20346,5,14932.0,2023-09-22,2023-09-27,Afsendt,Kreditkort
O70291,P1003,C20692,6,17094.6,2022-06-25,2022-07-01,Leveret,Dankort
O70292,P1016,C20094,1,1307.47,2024-04-25,2024-05-02,Annulleret,MobilePay
O70293,P1020,C20854,5,13458.3,2023-10-29,2023-10-31,Leveret,Dankort
O70294,P1006,C20619,3,1718.73,2023-05-25,2023-05-31,Afsendt,Faktura
O70295,P1004,C20123,6,17918.4,2022-11-01,2022-11-05,Afsendt,Faktura
O70296,P1017,C20295,3,13494.99,2023-05-11,2023-05-15,Afsendt,MobilePay
O70297,P1001,C20268,4,4770.92,2024-01-22,2024-01-29,Leveret,Dankort
O70298,P1014,C20548,1,2064.71,2022-11-23,2022-11-25,Afsendt,Kreditkort
O70299,P1018,C20857,4,2177.84,2022-04-10,2022-04-11,Afsendt,Kreditkort
O70300,P1009,C20641,5,1617.7,2024-04-13,2024-04-16,Afsendt,Kreditkort
O70301,P1014,C20632,4,8258.84,2023-05-26,2023-05-31,Afsendt,Dankort
O70302,P1014,C20441,2,4129.42,2023-02-07,2023-02-12,Afsendt,Dankort
O70303,P1014,C20964,5,10323.55,2022-02-21,2022-02-24,Afsendt,Dankort
O70304,P1019,C20542,2,7960.38,2024-05-17,2024-05-18,Leveret,Faktura
O70305,P1019,C21168,1,3980.19,2023-01-10,2023-01-11,Afsendt,MobilePay
O70306,P1004,C21033,4,11945.6,2023-07-21,2023-07-24,Afsendt,MobilePay
O70307,P1002,C20244,5,1273.7,2024-04-25,2024-04-30,Afsendt,Dankort
O70308,P1020,C21143,3,8074.98,2023-02-08,2023-02-11,Annulleret,Kreditkort
O70309,P1006,C21025,4,2291.64,2022-07-23,2022-07-28,Afsendt,Dankort
O70310,P1001,C21064,4,4770.92,2022-05-21,2022-05-27,Afsendt,Kreditkort
O70311,P1001,C20805,2,2385.46,2022-12-02,2022-12-07,Returneret,MobilePay
O70312,P1006,C21091,5,2864.55,2023-08-31,2023-09-03,Afsendt,MobilePay
O70313,P1016,C20679,3,3922.41,2023-05-02,2023-05-09,Leveret,Faktura
